Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,6,200,20,80,57,138,12,171428.58,851.27203,114,142188.86,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,57,138,12,168297.47,835.61646,114,139330.72,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,57,138,12,174168.3,866.9276,114,143682.0,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,57,138,12,169863.0,841.4873,115,140743.64,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_9.csv' mode='w' encoding='utf-8'>"
,0,200,20,80,58,138,12,173385.53,1056.7515,111,182968.67,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,58,138,12,169863.0,1037.182,113,184056.75,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,58,138,12,173776.9,1052.8375,113,185694.7,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,58,138,12,172994.12,1052.8375,115,185346.38,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,58,138,12,169080.23,1033.2681,112,183050.88,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,58,138,12,173776.9,1060.6654,116,187270.06,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_5.csv' mode='w' encoding='utf-8'>"
,6,200,20,80,58,138,12,171428.58,1045.0098,113,182814.1,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,58,138,12,168688.84,1033.2681,114,180285.72,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,58,138,12,174168.3,1056.7515,117,186606.66,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,58,138,12,170645.8,1041.096,116,184162.42,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_58,138,12_9.csv' mode='w' encoding='utf-8'>"
,0,200,20,80,59,138,12,172994.12,1268.1018,111,220671.23,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,59,138,12,169863.0,1236.7906,115,219729.94,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,59,138,12,174951.08,1275.9296,115,219637.97,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,59,138,12,172602.73,1256.3601,115,217628.17,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,59,138,12,168297.47,1232.8767,113,215377.69,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,59,138,12,174168.3,1264.1879,114,215988.25,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_5.csv' mode='w' encoding='utf-8'>"
,6,200,20,80,59,138,12,171819.97,1244.6184,116,216634.06,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,59,138,12,171428.58,1248.5323,114,218293.55,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,59,138,12,173385.53,1272.0156,114,219677.11,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,59,138,12,171037.19,1244.6184,112,216066.55,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_59,138,12_9.csv' mode='w' encoding='utf-8'>"
,0,200,20,80,60,138,12,168688.84,1432.4854,115,249616.42,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_60,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,60,138,12,174951.08,1479.452,116,255090.0,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_60,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,60,138,12,171819.97,1448.1409,112,249636.0,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_60,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,60,138,12,169471.62,1436.3992,115,249833.64,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_60,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,60,138,12,173776.9,1471.6243,111,252379.67,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_60,138,12_4.csv' mode='w' encoding='utf-8'>"
